video_id,title,path,recording_at,recording_end,track_id,tracker_id,start_time,end_time,object_type,width,length,detection_time,x_cord_m,y_cord_m,total_kms,speed_km_h,direction
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:52.817841,100.61182,150.58293,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:52.862476,100.62082,150.57687,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:52.903457,100.62115,150.57657,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:52.944708,100.61110,150.58482,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:52.984854,100.60715,150.57750,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.027766,100.60734,150.60036,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.069374,100.59247,150.62817,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.113835,100.58801,150.64513,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.154097,100.59228,150.67668,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.196413,100.60323,150.67804,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.23814,100.60503,150.68814,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.278983,100.60869,150.69223,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.359215,100.60481,150.70195,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.401597,100.61243,150.71065,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.446525,100.59135,150.72800,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.48713,100.58125,150.73087,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.571001,100.56914,150.73370,,,
